City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Richards Bay,-28.783,32.0377,68.25,91,80,5.03,ZA,1604350800
82,Atasū,48.6814,71.6433,33.06,93,0,5.79,KZ,1604350800
83,Avera,33.194,-82.5271,58.86,30,1,3.74,US,1604350800
84,Tazovsky,67.4667,78.7,18.86,98,98,11.81,RU,1604350800
85,Sola,-13.8833,167.55,79.72,79,93,4.36,VU,1604350800
86,Vilhena,-12.7406,-60.1458,83.59,53,69,1.97,BR,1604350800
87,La Santisima Trinidad,-14.8333,-64.9,95.67,30,29,2.33,BO,1604350800
88,Vostok,46.4856,135.8833,21.49,97,90,7.18,RU,1604350800
89,New Norfolk,-42.7826,147.0587,61.93,43,100,3.22,AU,1604350800
90,Honiara,-9.4333,159.95,78.1,88,87,6.24,SB,1604350800
91,Beausejour,50.0622,-96.5167,50.81,62,36,6.44,CA,1604350800
92,Vanavara,60.34,102.2797,28.2,98,94,8.1,RU,1604350800
93,Airai,-8.9266,125.4092,61.43,66,89,1.92,TL,1604350800
94,Leningradskiy,69.3833,178.4167,16.48,85,100,3.91,RU,1604350800
95,Fare,-16.7,-151.0167,80.46,78,6,19.82,PF,1604350800
96,Beringovskiy,63.05,179.3167,25.48,93,27,4.65,RU,1604350800
97,Port Alfred,-33.5906,26.891,67.03,81,28,20.71,ZA,1604350800
98,Preobrazheniye,42.9019,133.9064,34.12,79,46,11.36,RU,1604350800
99,Bredasdorp,-34.5322,20.0403,64.87,88,19,12.17,ZA,1604350800
100,Lavrentiya,65.5833,-171.0,19.92,87,5,3.58,RU,1604350800
101,Bambous Virieux,-20.3428,57.7575,71.58,71,42,11.21,MU,1604350800
102,Singaparna,-7.3515,108.111,70.36,90,74,2.42,ID,1604350800
103,Mahajanga,-15.7167,46.3167,78.22,85,53,1.95,MG,1604350800
104,Constitución,-35.3333,-72.4167,60.06,72,47,10.71,CL,1604350800
105,Tondano,1.3038,124.9112,72.91,93,59,4.63,ID,1604350800
106,Waipawa,-41.4122,175.5153,51.64,90,100,10.87,NZ,1604350800
107,Pisco,-13.7,-76.2167,68.22,72,91,9.24,PE,1604350800
108,Hithadhoo,-0.6,73.0833,83.01,74,63,11.07,MV,1604350800
109,St. Pete Beach,27.7253,-82.7412,72.64,52,1,22.24,US,1604350800
110,Touros,-5.1989,-35.4608,80.64,72,11,12.1,BR,1604350800
111,Sitka,57.0531,-135.33,40.44,80,95,2.57,US,1604350800
112,Trairi,-3.2778,-39.2689,83.43,68,16,10.31,BR,1604350800
113,Bengkulu,-3.8004,102.2655,75.16,89,100,5.46,ID,1604350800
114,Mbuguni,-3.5667,36.95,70.11,74,36,8.46,TZ,1604350800
115,Takoradze,4.8845,-1.7554,79.34,85,82,5.46,GH,1604350800
116,Itoman,26.1247,127.6694,75.33,79,86,23.87,JP,1604350800
117,Manta,-0.95,-80.7333,78.57,70,65,17.31,EC,1604350800
118,Begowāl,31.6167,75.5167,61.66,56,0,2.3,IN,1604350800
119,Nara,34.6851,135.8049,56.41,67,87,7.78,JP,1604350800
120,Primo Tapia,32.22,-116.9172,76.6,51,1,9.35,MX,1604350800
121,Kem',64.9555,34.5793,40.21,84,65,22.53,RU,1604350800
122,Nolinsk,57.5596,49.9363,28.53,95,3,4.0,RU,1604350800
123,Shaoguan,24.8,113.5833,59.77,80,73,2.3,CN,1604350800
124,Faanui,-16.4833,-151.75,79.56,78,2,15.52,PF,1604350800
125,Bordighera,43.7806,7.6645,62.67,77,87,3.91,IT,1604350800
126,Ukiah,39.1502,-123.2078,89.37,13,1,4.47,US,1604350800
127,Pachino,36.7186,15.0907,64.18,84,0,1.83,IT,1604350800
128,Arraial do Cabo,-22.9661,-42.0278,69.85,63,12,13.22,BR,1604350800
129,Severo-Kuril'sk,50.6789,156.125,43.59,82,91,24.83,RU,1604350800
130,Quryq,43.2,51.65,57.16,53,67,1.25,KZ,1604350800
131,Saint-André-les-Vergers,48.2853,4.0521,55.49,84,95,7.31,FR,1604350800
132,Kiruna,67.8557,20.2251,35.73,99,100,10.49,SE,1604350800
133,San Patricio,28.017,-97.5169,74.17,38,25,7.36,US,1604350800
134,Barrow,71.2906,-156.7887,26.74,86,95,10.67,US,1604350800
135,Dikson,73.5069,80.5464,16.23,97,99,10.02,RU,1604350800
136,Khatanga,71.9667,102.5,12.36,96,100,8.34,RU,1604350800
137,Yārāda,17.65,83.2667,81.03,84,41,3.67,IN,1604350800
138,Lakatoro,-16.0999,167.4164,82.27,83,87,5.35,VU,1604350800
139,Iralaya,15.0,-83.2333,78.19,90,100,35.99,HN,1604350800
140,Hong Kong,22.2855,114.1577,70.05,67,35,12.88,HK,1604350800
141,Shangrao,28.4532,117.9686,55.22,90,1,2.35,CN,1604350800
142,Lompoc,34.6391,-120.4579,78.35,46,1,9.1,US,1604350800
143,Caravelas,-17.7125,-39.2481,73.11,75,89,10.87,BR,1604350800
144,Meulaboh,4.1363,96.1285,78.08,83,100,5.1,ID,1604350800
145,Jumla,29.2747,82.1838,44.29,60,0,6.78,NP,1604350800
146,Santa Vitória do Palmar,-33.5189,-53.3681,65.14,66,53,8.63,BR,1604350800
147,Kavieng,-2.5744,150.7967,83.57,72,46,4.36,PG,1604350800
148,Clovis,36.8252,-119.7029,82.4,21,38,3.36,US,1604350800
149,Saint-Philippe,-21.3585,55.7679,69.98,64,94,10.04,RE,1604350800
150,Guinguinéo,14.2667,-15.95,88.41,22,44,6.51,SN,1604350800
151,Maragogi,-9.0122,-35.2225,79.92,76,53,12.28,BR,1604350800
152,Porto-Novo,6.4965,2.6036,80.04,84,59,5.35,BJ,1604350800
153,Kandrian,-6.2167,149.55,80.67,82,41,2.93,PG,1604350800
